Jam;Jenis Poli Gigi;Senin;Selasa;Rabu;Kamis;Jumat
09:00-12:00;Umum;drg. Belinda Kusuma;drg. Yanuardi;drg. Yanuardi;drg. Jennifer;drg. Jennifer
13:00-15:00;Umum;drg. Belinda Kusuma;drg. Faustina;drg. Belinda;drg. Jennifer;drg. Faustina
15:00-18:00;Umum;drg. Jennifer;drg. Ermin;drg. Pius;drg. Ermin;----
18:00-19:30;Umum;drg. Setiawan;drg. Nida;drg. Pius;drg. Nida;----
09:00-12:00;BPJS;drg. Elfira;drg. Elfira;drg. Elfira;drg. Elfira;drg. Elfira
16:00-19:00;BPJS;drg. Elfira;drg. Elfira;drg. Elfira;drg. Elfira;drg. Elfira
